"数学成績平均","教員数","パソコン台数","学生一人当たり学校予算"
690,10.8999996185303,67,6384.9111328125
661.900024414062,11.1499996185303,101,5099.380859375
650.900024414062,82.9000015258789,169,5501.95458984375
643.5,14,85,7101.8310546875
639.900024414062,71.5,171,5235.98779296875
605.400024414062,6.40000009536743,25,5580.14697265625
609,10,28,5253.3310546875
612.5,42.5,66,4565.74609375
616.099975585938,19,35,5355.54833984375
613.400024414062,108,0,5036.21142578125
618.700012207031,21,86,4547.6923828125
616,47,56,5447.34521484375
619.799987792969,5,25,6567.1494140625
622.599975585938,24.3400001525879,0,4818.61279296875
621,36,31,5621.4560546875
619.900024414062,42.0699996948242,80,6026.35986328125
624.400024414062,28.9200000762939,100,6723.23779296875
621.700012207031,25.5,50,5589.88525390625
620.5,303.029998779297,960,5064.61572265625
619.299987792969,135,139,5433.59326171875
625.400024414062,24,69,5725.5634765625
622.900024414062,21,53,4542.10498046875
620.599975585938,130.5,169,5107.08642578125
623.400024414062,19,0,4659.66162109375
625.700012207031,114,216,4555.46435546875
621.200012207031,85,198,5415.15283203125
626,319.799987792969,742,4997.87158203125
630.400024414062,135,269,5223.912109375
627.099975585938,44,67,5139.16455078125
620.400024414062,22,55,4614.251953125
628.700012207031,201,569,5342.2333984375
626.900024414062,99.75,224,5347.45849609375
629.799987792969,464.899993896484,721,5036.458984375
625.599975585938,125,202,5117.1416015625
626.799987792969,1186.69995117188,1713,5117.03955078125
628.200012207031,103.680000305176,177,5272.19189453125
630.200012207031,90.4000015258789,204,5225.71923828125
625.299987792969,17.5,18,6516.533203125
630.099975585938,280,562,4559.1767578125
627.099975585938,121.860000610352,275,5119.158203125
628.700012207031,669.359985351562,1762,5338.185546875
635.200012207031,9,40,5090.044921875
627.700012207031,61.4000015258789,78,5485.49609375
636.200012207031,268,571,4793.3701171875
631,221,324,5092.91748046875
629.400024414062,53,175,4359.52099609375
631.200012207031,766.650024414062,1423,5645.49560546875
628.900024414062,39,85,4518.01611328125
629.5,1429,3324,5864.3662109375
632.599975585938,487.970001220703,1306,5257.99658203125
633.700012207031,444.5,786,5016.6923828125
627.099975585938,74.5,242,4720.08642578125
630.700012207031,449.920013427734,669,5470.5625
634.200012207031,521.469970703125,896,5615.44189453125
629.700012207031,318.579986572266,560,5245.43994140625
630.5,105,202,4838.17529296875
633,283.149993896484,480,5367.98828125
627,112.650001525879,196,5526.23681640625
627.599975585938,126.120002746582,152,4353.01953125
632.5,142.550003051758,249,5034.2900390625
636.700012207031,37.1199989318848,45,4692.49365234375
635.799987792969,290.774993896484,560,5606.78173828125
636.700012207031,953.5,1048,4969.1806640625
632.900024414062,138.5,496,4675.6748046875
633.099975585938,50,149,5306.1328125
629.599975585938,90.5,287,5693.88330078125
636.200012207031,209.839996337891,284,5181.57958984375
630.5,224.5,585,5228.65087890625
636.700012207031,304.730010986328,505,5339.39111328125
631.5,62.0999984741211,129,6056.4970703125
636.599975585938,11,13,4845.68017578125
631.099975585938,141.210006713867,273,4826.666015625
633.599975585938,30,94,5367.09033203125
636.200012207031,542.650024414062,1248,5742.73291015625
638.700012207031,55,107,4136.2509765625
632.099975585938,140.119995117188,259,5267.8310546875
633.5,19.9799995422363,8,5238.39208984375
626.099975585938,18.5300006866455,37,5462.8994140625
630,16.5,32,6313.37353515625
636.599975585938,12.5,31,6653.03076171875
638.200012207031,186.199996948242,897,5533.1494140625
634.799987792969,19.25,8,6118.71044921875
638.700012207031,211,445,5098.626953125
638.299987792969,75.0800018310547,112,5652.87890625
638.299987792969,26.5,36,5329.00244140625
627.799987792969,57.7000007629395,277,5929.80908203125
641.099975585938,65,178,4897.06787109375
641.400024414062,546.299987792969,1015,5100.2021484375
637.700012207031,306.75,1261,4825.72265625
637.900024414062,20,35,4079.12915039062
636.200012207031,23,27,5349.36767578125
633.799987792969,15,55,5869.38916015625
630.400024414062,24.3999996185303,50,6462.1279296875
629.799987792969,8,34,6231.6015625
642.700012207031,24.2199993133545,71,4993.86767578125
639.299987792969,17.7999992370605,28,4663.81103515625
636,95,315,6107.1064453125
640.400024414062,183.75,717,5324.22802734375
646.200012207031,22.4300003051758,70,5221.4609375
638.099975585938,246.899993896484,383,5157.78466796875
639.599975585938,7.65999984741211,28,5131.119140625
640.5,105.819999694824,134,5279.35400390625
638.200012207031,30.9799995422363,144,4704.0439453125
635.900024414062,16.5499992370605,26,6089.91064453125
638.799987792969,227.850006103516,597,5356.83349609375
637.599975585938,295.049987792969,313,5144.54931640625
637.799987792969,846.380004882812,1182,4906.22998046875
638.099975585938,175.550003051758,560,5489.5888671875
638.299987792969,136.830001831055,397,5718.55126953125
645.5,20,87,4436.15283203125
636.700012207031,11.1999998092651,24,4895.439453125
639.900024414062,648.409973144531,1321,5159.21875
643.299987792969,18.2000007629395,98,5490.65478515625
643,332.100006103516,499,5172.01953125
636.900024414062,12.1999998092651,30,4441.6728515625
641.799987792969,139.470001220703,281,5220.3701171875
643.599975585938,297.040008544922,1338,5252.810546875
644.299987792969,508.75,1435,5518.7021484375
642.299987792969,87.1399993896484,222,5609.48779296875
644.700012207031,26.6100006103516,96,4945.03173828125
642.599975585938,30,145,5223.025390625
647.400024414062,103.370002746582,283,4757.025390625
644.599975585938,22.3999996185303,50,5522.16162109375
632.900024414062,10,40,6087.60888671875
644.099975585938,114.5,92,4960.515625
643.799987792969,55,165,4880.04052734375
647.099975585938,78.0999984741211,65,6538.41796875
647.900024414062,332.839996337891,680,4925.65966796875
645.099975585938,98,170,5204.6875
642.799987792969,361,658,4907.41064453125
634.299987792969,14,47,5923.45166015625
653.799987792969,10,31,4741.95703125
641.700012207031,391.859985351562,1004,4954.01953125
636.099975585938,39.5,0,5500.10791015625
643.900024414062,537.880004882812,1719,5360.51708984375
636.700012207031,32.2000007629395,35,5685.63916015625
639.400024414062,5,19,5594.1962890625
645.700012207031,13,4,4692.56689453125
644.700012207031,24,52,5085.40625
643.099975585938,540.049987792969,1268,5456.197265625
644.099975585938,41.5299987792969,36,5105.1796875
640.200012207031,11.6000003814697,25,5519.67724609375
647.299987792969,391.420013427734,1333,5065.9111328125
633.700012207031,8.5,30,5182.42822265625
633.099975585938,13.3900003433228,48,5960.46435546875
643.400024414062,232.970001220703,601,5124.83642578125
646.400024414062,34.3300018310547,71,5655.13330078125
647.200012207031,7.55000019073486,25,5811.68994140625
646,121.23999786377,116,5467.673828125
639.5,6,0,5213.08935546875
641.5,26,65,4613.1875
649.700012207031,11.6599998474121,30,4886.98388671875
651.200012207031,18.7199993133545,36,6455.13671875
645.200012207031,147.979995727539,471,5125.43310546875
644,102.779998779297,167,5193.6923828125
649.400024414062,267,316,5002.8388671875
648.200012207031,484.5,1218,5337.62548828125
646.099975585938,11.5,38,5161.2021484375
651.599975585938,360.350006103516,800,5158.7919921875
649.5,1051.57995605469,2889,5123.47412109375
643.799987792969,27,27,5782.5439453125
645.799987792969,39.9000015258789,50,4842.60791015625
643.599975585938,18.4500007629395,46,4219.40625
651,903.760009765625,2001,5081.169921875
648.400024414062,410.910003662109,1058,5144.99365234375
647.700012207031,38,60,4674.298828125
645.099975585938,7,40,4830.326171875
654,13.6999998092651,51,5621.68798828125
652.799987792969,371.100006103516,1295,4948.8681640625
652.299987792969,108.660003662109,354,5100.9755859375
643.400024414062,8.25,16,5132.78857421875
649.200012207031,210,606,5358.51708984375
648.099975585938,117.800003051758,345,5149.1865234375
647.099975585938,30.5,163,5373.20654296875
645.799987792969,28.2700004577637,48,6485.166015625
646.5,35.0999984741211,59,5504.025390625
645.799987792969,175.300003051758,789,5105.734375
647.700012207031,26.3400001525879,61,5634.73095703125
650,11.5,60,4980.29443359375
645.700012207031,5.59999990463257,22,6113.85986328125
649,297.140014648438,500,5850
650.700012207031,107.194999694824,226,4547.94482421875
648.299987792969,13.25,32,5011.84033203125
640.799987792969,41.1500015258789,75,5261.37060546875
655.900024414062,15.3999996185303,50,4276.115234375
649.400024414062,6.75,25,4566.27001953125
651.799987792969,10,26,6049.4951171875
647.5,26,65,4974.28125
655.799987792969,5,25,4432.47802734375
647.799987792969,18.6700000762939,58,4924.619140625
652.599975585938,546.049987792969,1099,4603.65966796875
649.5,16.1700000762939,65,5973.92529296875
653.700012207031,339.100006103516,634,5215.94384765625
647.5,29.9500007629395,134,4882.23681640625
644.5,7.5,41,4145.8359375
649.599975585938,8.5,36,7542.0380859375
651.900024414062,22,75,5247.01806640625
