時点,就業者-男女計-万人,就業率-15_64歳,就業率-65歳以上,完全失業率-男女計,完全失業率-男,完全失業率-女,有効求人倍率,総実労働時間,総実労働時間うち一般労働者,総実労働時間うちパートタイム労働者
2000年1月,6355,68,21.3,4.6,4.8,4.4,0.5,,,
2000年2月,6311,67.7,20.6,4.9,5.1,4.6,0.55,,,
2000年3月,6345,68,21.3,5.2,5.4,4.9,0.59,,,
2000年4月,6440,69,21.9,5.1,5.1,5,0.54,,,
2000年5月,6503,69.5,22.4,4.8,4.9,4.8,0.51,,,
2000年6月,6503,69.3,22.9,4.7,4.8,4.5,0.53,,,
2000年7月,6489,69.3,22.8,4.5,4.7,4.2,0.56,,,
2000年8月,6480,69.2,22.7,4.6,4.7,4.4,0.61,,,
2000年9月,6480,69.2,22.7,4.7,4.8,4.5,0.65,,,
2000年10月,6508,69.4,22.9,4.6,4.8,4.3,0.67,,,
2000年11月,6502,69.4,22.6,4.5,4.8,4.2,0.68,,,
2000年12月,6440,68.9,21.5,4.4,4.7,4,0.66,,,
2001年1月,6360,68.4,20,4.7,4.9,4.6,0.64,,,
2001年2月,6352,68.5,20.1,4.8,4.9,4.6,0.67,,,
2001年3月,6379,68.5,21.1,5.1,5.2,4.9,0.68,,,
2001年4月,6427,69,21.5,5.1,5.3,4.9,0.61,,,
2001年5月,6473,69.4,21.7,5.1,5.3,4.9,0.56,,,
2001年6月,6466,69.3,21.8,5,5.2,4.7,0.55,,,
2001年7月,6452,69.1,21.8,4.9,5.1,4.6,0.56,,,
2001年8月,6443,69,21.9,5,5.1,4.8,0.58,,,
2001年9月,6396,68.4,21.7,5.3,5.3,5.2,0.6,,,
2001年10月,6405,68.7,20.9,5.2,5.5,4.8,0.57,,,
2001年11月,6430,68.8,21.4,5.2,5.5,4.6,0.56,,,
2001年12月,6362,68.3,20.8,5,5.5,4.4,0.51,,,
2002年1月,6267,67.6,19.4,5.2,5.3,5,0.5,,,
2002年2月,6248,67.5,19.5,5.4,5.4,5.3,0.53,,,
2002年3月,6297,67.9,20.3,5.7,5.8,5.6,0.56,,,
2002年4月,6333,68.2,20.7,5.6,5.7,5.4,0.51,,,
2002年5月,6356,68.2,21.3,5.6,5.7,5.5,0.48,,,
2002年6月,6373,68.5,20.9,5.5,5.6,5.2,0.48,,,
2002年7月,6374,68.7,20.7,5.2,5.4,5,0.51,,,
2002年8月,6371,68.6,20.9,5.4,5.5,5.1,0.54,,,
2002年9月,6353,68.3,20.8,5.4,5.7,5.1,0.57,,,
2002年10月,6355,68.6,19.9,5.4,5.7,5,0.59,,,
2002年11月,6346,68.6,19.7,5.1,5.4,4.5,0.6,,,
2002年12月,6291,68.2,19.3,5,5.3,4.6,0.59,,,
2003年1月,6203,67.5,18.2,5.4,5.5,5.4,0.59,,,
2003年2月,6193,67.4,18.5,5.3,5.5,5.1,0.62,,,
2003年3月,6266,67.8,19.8,5.8,6.1,5.3,0.65,,,
2003年4月,6306,68.1,20.4,5.8,5.9,5.5,0.59,,,
2003年5月,6360,68.5,21,5.6,5.7,5.3,0.55,,,
2003年6月,6411,68.9,21.4,5.3,5.7,4.8,0.56,,,
2003年7月,6381,68.8,20.7,5.1,5.3,4.8,0.59,,,
2003年8月,6361,68.7,20.3,5,5.1,4.8,0.64,,,
2003年9月,6346,68.6,20,5.2,5.4,4.8,0.7,,,
2003年10月,6337,68.7,19.2,5.1,5.4,4.8,0.74,,,
2003年11月,6323,68.7,18.5,5,5.2,4.6,0.77,,,
2003年12月,6307,68.8,18.2,4.5,4.8,4.1,0.78,,,
2004年1月,6221,67.8,17.7,4.9,5.1,4.7,0.77,,,
2004年2月,6209,67.7,18.1,5,5.3,4.6,0.8,,,
2004年3月,6279,68.1,19.3,5,5.3,4.7,0.82,,,
2004年4月,6354,68.7,20.2,5,5.1,4.9,0.75,,,
2004年5月,6389,69,20.6,4.8,4.8,4.7,0.72,,,
2004年6月,6374,69,20.3,4.6,4.9,4.2,0.75,,,
2004年7月,6373,69,20.2,4.8,5.1,4.3,0.78,,,
2004年8月,6395,69.3,20.3,4.7,4.7,4.6,0.83,,,
2004年9月,6369,69.1,19.7,4.6,4.8,4.3,0.88,,,
2004年10月,6352,69.2,18.9,4.7,4.8,4.4,0.93,,,
2004年11月,6322,68.9,18.6,4.4,4.7,4,0.98,,,
2004年12月,6306,68.8,18.5,4.1,4.4,3.7,0.95,,,
2005年1月,6261,68.3,18.3,4.5,4.7,4.2,0.93,,,
2005年2月,6224,68,18.2,4.7,5,4.3,0.95,,,
2005年3月,6260,68.4,18.4,4.8,4.9,4.5,0.98,,,
2005年4月,6352,69.2,19.6,4.7,4.7,4.6,0.89,,,
2005年5月,6435,69.8,20.5,4.6,4.7,4.4,0.85,,,
2005年6月,6418,69.8,20,4.2,4.5,3.8,0.87,,,
2005年7月,6410,69.8,20,4.3,4.4,4.1,0.9,,,
2005年8月,6405,69.7,19.9,4.2,4.3,4.2,0.95,,,
2005年9月,6437,70,20.3,4.2,4.3,4.2,1,,,
2005年10月,6410,69.8,20,4.5,4.6,4.5,1.02,,,
2005年11月,6345,69.2,19.3,4.4,4.5,4.2,1.06,,,
2005年12月,6317,69.2,18.6,4,4.2,3.7,1.06,,,
2006年1月,6272,68.8,18.2,4.5,4.7,4,1.06,,,
2006年2月,6276,69,18.1,4.2,4.6,3.6,1.1,,,
2006年3月,6312,69.3,18.3,4.4,4.6,4.1,1.09,,,
2006年4月,6373,70,18.8,4.3,4.3,4.1,0.99,,,
2006年5月,6454,70.7,19.6,4.1,4.2,4,0.96,,,
2006年6月,6444,70.4,19.8,4.1,4.2,4,0.98,,,
2006年7月,6428,70.2,20.1,4,4.2,3.8,1.02,,,
2006年8月,6435,70.3,20.3,4.1,4.2,3.9,1.06,,,
2006年9月,6440,70.3,20.4,4.2,4.3,4,1.1,,,
2006年10月,6446,70.3,20.6,4.2,4.4,3.9,1.12,,,
2006年11月,6420,70.2,19.9,3.9,4.2,3.5,1.14,,,
2006年12月,6365,69.9,19.1,3.7,4,3.3,1.13,,,
2007年1月,6290,69.4,18.3,4,4.1,3.9,1.09,,,
2007年2月,6314,69.6,18.6,4.1,4.2,3.9,1.11,,,
2007年3月,6364,70,19.3,4.2,4.3,4.1,1.1,,,
2007年4月,6458,71,19.8,4,4.1,3.9,1,,,
2007年5月,6513,71.5,20.3,3.8,3.9,3.7,0.96,,,
2007年6月,6506,71.4,20.2,3.6,3.8,3.3,0.97,,,
2007年7月,6474,71,20.3,3.5,3.7,3.2,1,,,
2007年8月,6463,70.8,20.5,3.7,3.7,3.8,1.04,,,
2007年9月,6439,70.6,20.3,4,4,4.1,1.06,,,
2007年10月,6442,70.7,20.2,4,4.1,4,1.07,,,
2007年11月,6452,71,19.6,3.7,3.8,3.5,1.06,,,
2007年12月,6415,70.8,19,3.5,3.6,3.3,1.04,,,
2008年1月,6341,70,18.9,3.9,4,3.7,1,,,
2008年2月,6313,69.8,18.7,4.1,4.2,3.8,1.02,,,
2008年3月,6358,70.2,19.3,4.1,4,4.1,0.99,,,
2008年4月,6451,71,20.3,4.1,4,4.2,0.89,,,
2008年5月,6501,71.5,20.7,4,4.1,3.8,0.84,,,
2008年6月,6475,71.3,20.3,3.9,4.1,3.8,0.83,,,
2008年7月,6430,70.7,20.5,3.8,3.9,3.7,0.84,,,
2008年8月,6430,70.9,20.2,4.1,4.1,4,0.85,,,
2008年9月,6419,70.9,19.6,4.1,4.1,4.1,0.86,,,
2008年10月,6415,70.9,19.8,3.8,4,3.6,0.84,,,
2008年11月,6418,71.1,19.3,3.9,4,3.6,0.81,,,
2008年12月,6359,70.6,19,4.1,4.3,3.8,0.75,,,
2009年1月,6321,70.2,18.9,4.2,4.3,4.1,0.67,,,
2009年2月,6294,69.8,19.3,4.6,4.7,4.4,0.61,,,
2009年3月,6275,69.5,19.6,5.1,5.1,5.1,0.54,,,
2009年4月,6353,70.2,20.4,5.2,5.4,4.9,0.44,,,
2009年5月,6374,70.4,20.6,5.2,5.4,4.9,0.4,,,
2009年6月,6332,70.1,19.8,5.2,5.5,4.8,0.4,,,
2009年7月,6303,69.8,19.8,5.4,5.8,4.8,0.41,,,
2009年8月,6330,70.1,19.9,5.4,5.7,5.1,0.42,,,
2009年9月,6330,70.3,19.5,5.5,5.6,5.3,0.45,,,
2009年10月,6306,70.1,19.3,5.2,5.4,4.9,0.47,,,
2009年11月,6296,70.1,19,5,5.3,4.6,0.47,,,
2009年12月,6260,69.9,18.4,4.8,5.1,4.5,0.47,,,
2010年1月,6250,69.6,18.9,4.9,5.2,4.6,0.48,,,
2010年2月,6223,69.5,18.5,5,5.4,4.4,0.5,,,
2010年3月,6249,69.6,19.2,5.3,5.8,4.7,0.5,,,
2010年4月,6309,70,20.1,5.4,5.6,5,0.45,,,
2010年5月,6335,70.4,20,5.2,5.5,4.8,0.44,,,
2010年6月,6321,70.2,19.9,5.2,5.5,4.8,0.47,,,
