基準地の１平方メートル当たり価格（円）,基準地の地積（m2）,基準地の鉄道その他の主要な交通施設との接近状況,ガス,下水,水道,鉄筋コンクリート造,鉄骨造,木造,ホテル,事務所,住宅,工場,店舗,銀行
65800,128,6000.0,1,1,1,0,0,1,0,0,1,0,0,0
63400,143,700.0,1,1,1,0,0,1,0,0,1,0,0,0
69000,253,5900.0,1,1,1,0,0,1,0,0,1,0,0,0
80800,151,1300.0,1,1,1,0,0,1,0,0,1,0,0,0
77500,288,900.0,1,1,1,0,0,1,0,0,1,0,0,0
55200,215,2400.0,1,1,1,0,0,1,0,0,1,0,0,0
22000,399,2900.0,0,1,1,0,0,1,0,0,1,0,0,0
50900,147,4700.0,0,1,1,0,0,1,0,0,1,0,0,0
15000,425,300.0,0,1,1,0,0,1,0,0,1,0,0,0
66300,200,3100.0,1,1,1,0,0,1,0,0,1,0,0,0
56900,257,3300.0,1,1,1,0,0,1,0,0,1,0,0,0
66800,224,2600.0,1,1,1,0,0,1,0,0,1,0,0,0
57300,396,320.0,1,1,1,0,0,1,0,0,1,0,0,0
33600,257,1500.0,1,1,1,0,0,1,0,0,1,0,0,0
86600,257,1600.0,1,1,1,0,1,0,0,0,1,0,0,0
49500,196,1600.0,1,1,1,0,0,0,0,0,1,0,0,0
18200,241,200.0,0,0,1,0,0,1,0,0,1,0,0,0
72800,156,2100.0,1,1,1,0,0,1,0,0,1,0,0,0
50800,180,3900.0,1,1,1,0,0,1,0,0,1,0,0,0
30000,459,4800.0,0,1,1,0,0,1,0,0,1,0,0,0
57000,220,3000.0,1,1,1,0,0,1,0,0,1,0,0,0
66100,152,1200.0,1,1,1,0,0,1,0,0,1,0,0,0
46700,277,1000.0,0,0,1,0,0,1,0,0,1,0,0,0
58200,345,3400.0,1,1,1,0,1,0,0,0,1,0,0,0
54900,332,2200.0,1,1,1,0,0,1,0,0,1,0,0,0
55800,217,7000.0,0,1,1,0,0,1,0,0,1,0,0,0
26300,196,600.0,0,1,1,0,0,1,0,0,1,0,0,0
24200,160,950.0,0,1,1,0,0,1,0,0,1,0,0,0
16100,201,2000.0,0,0,1,0,0,1,0,0,1,0,0,0
13800,493,1300.0,0,0,1,0,0,1,0,0,1,0,0,0
